t[s],Q[W],Tin[degC],Tout[degC]
5580,10132.628038975517,16.100530510206827,20.943682417524727
5640,10147.335227660555,16.13183246805226,20.970641602667175
5700,10148.19689279381,16.16282859190614,20.999157776925273
5760,10156.222366728565,16.193512560759377,21.028134495790077
5820,10154.111835019048,16.223889042075747,21.057422098824134
5880,10179.30558909206,16.253966066594312,21.08719994275652
5940,10176.777295457081,16.283751665054158,21.117647384316324
6000,10183.04514722808,16.313259964188923,21.14901506690525
6060,10203.648923353183,16.342524565412514,21.181693061567014
6120,10225.446076885552,16.371518006367175,21.215211027233433
6180,10215.43296373745,16.40020269995647,21.248968546649948
6240,10207.834383327685,16.428541059083987,21.282365202562023
6300,10191.113516816067,16.45650559002672,21.31509645821631
6360,10184.856562792207,16.484140518217778,21.34842974947709
6420,10193.953723312208,16.511454373136377,21.381707179222317
6480,10233.333176809781,16.538444140067046,21.41386230092551
6540,10240.93557489222,16.565106804294324,21.443828668060213
6600,10241.470558269557,16.59143547,21.470685231842317
6660,10257.529143568712,16.617415766940184,21.495026913191086
6720,10268.570428076491,16.64308048120824,21.517734494637367
6780,10254.683,16.668469490192248,21.539586307596096
6840,10213.575981749647,16.693622675551712,21.561360683482253
6900,10209.844995011927,16.718572430528248,21.58368268001545
6960,10215.226154102555,16.74329454804719,21.605996567294483
7020,10205.708015020953,16.767785685648704,21.628136744995174
7080,10206.20844665501,16.79205062,21.65010079363161
7140,10203.541132793802,16.81609411696393,21.67188629371791
7200,10203.725840208155,16.83993143929118,21.693511778138355
7260,10207.543666991345,16.86361517472208,21.715076864825253
7320,10193.266633368592,16.887099313715296,21.736494736687646
7380,10163.877814757601,16.910320949088597,21.757645648147655
7440,10170.311657789052,16.933217173659767,21.77840985362742
7500,10173.141505509775,16.955750911196358,21.798716538827875
7560,10166.434121810253,16.978035326864923,21.818777950032544
7620,10161.251196744148,17.00003705024373,21.838526200956174
7680,10122.340157335986,17.021688763426685,21.857828895335608
7740,10137.817876951694,17.04292314850771,21.876553636907715
7800,10152.69295446133,17.06368865450622,21.894500267428775
7860,10151.032214428942,17.084053970373294,21.91134061
7920,10137.162795148077,17.104045623314864,21.927571855245706
7980,10133.368854809978,17.123673192492078,21.943815419097266
8040,10120.714986605844,17.142946257066118,21.96069272869767
8100,10112.346730200761,17.16186540314745,21.97885211228403
8160,10126.143078611047,17.180397634480247,21.99857332386755
8220,10110.28054,17.198591997683312,22.019113463969063
8280,10125.749918391617,17.216511834127825,22.039624846614284
8340,10140.189235501184,17.23422048518498,22.059259785828942
8400,10138.026898950191,17.251760388440783,22.077304227914443
8460,10140.610415059982,17.269049639436453,22.094240647678934
8520,10127.23535729171,17.286120346951044,22.11048819681134
8580,10133.109637658074,17.303031727098958,22.126345846950002
8640,10127.451690701419,17.319843,22.14211256973329
8700,10119.660179912626,17.336606582760613,22.15808843
8760,10128.293092272894,17.353303782126087,22.174342311420215
8820,10153.574403635872,17.36990193080036,22.190543299077483
8880,10119.713595619607,17.386373098762682,22.20632763056397
8940,10120.521411318745,17.40268935599235,22.221331543900654
9000,10107.59492400448,17.418832105343153,22.23519940098651
9060,10099.736448531186,17.43484096340307,22.247929626685682
9120,10081.787399463155,17.45070911573996,22.25998295490754
9180,10068.691875775432,17.46641800224813,22.271850013173125
9240,10080.375212266468,17.481949062821908,22.284021429003516
9300,10070.086948336564,17.49729421252757,22.297056827142168
9360,10039.513818398003,17.512501039829637,22.311388764663565
9420,10049.763111869544,17.527549003426106,22.326182850224004
9480,10076.183262633182,17.542403100658937,22.340444146899817
9540,10077.680223438061,17.55702832887009,22.353177717767338
9600,10053.67720858312,17.57139835986661,22.363515310312323
9660,10037.006573764247,17.58555048,22.371978888087654
9720,10041.896418480348,17.59949460178822,22.37945441314827
9780,10035.61999,17.613230949679025,22.386747753700494
9840,10000.879724781826,17.626759767364597,22.394664777950663
9900,10009.355929210558,17.640077063614733,22.403901154052363
9960,9997.207231878212,17.65316657,22.414154171522377
10020,9999.687278,17.666056459131354,22.425154019062973
10080,9989.845160367859,17.678782073361006,22.436728450260894
10140,9996.235068079228,17.691378768333983,22.448705218702923
10200,9989.638544490554,17.703869528019172,22.461031428867354
10260,9981.780523708332,17.716205240287895,22.474253108555587
10320,9976.003659479073,17.72840669583899,22.488081373493745
10380,9964.741965,17.740510919231152,22.50205788986718
10440,9991.203937486009,17.752554935023078,22.51572432386128
10500,10018.01995557166,17.76456351924182,22.528669946755222
10560,10017.104157218902,17.776487271464394,22.541027783572673
10620,10006.499822459873,17.788341412354733,22.553103006589893
10680,9991.067339,17.800156871722642,22.565173512795024
10740,9999.253269,17.81196457937796,22.57751719917624
10800,10016.096767085208,17.82379709797433,22.590653758170514
10860,10027.121994461988,17.835668582771806,22.605783072106806
10920,10050.345128298863,17.847537687579823,22.621530062972425
10980,10071.64653911162,17.85935723043731,22.63610585809978
11040,10043.992857100753,17.87108003,22.647721584821316
11100,10018.525891590078,17.882680957925825,22.655105903382523
11160,10011.022882574323,17.894254586491016,22.660747951799383
11220,9998.913079394792,17.90575614211131,22.66544429
11280,9977.998356,17.917110730926197,22.66941056112934
11340,9957.912635,17.928243459075208,22.672862383953188
11400,9931.109615123634,17.939096506744267,22.675911912354675
11460,9875.479160922057,17.949738915155375,22.67817781558734
11520,9892.158988610376,17.960188522214263,22.680045419542882
11580,9887.678013910534,17.970444370149607,22.682050380728757
11640,9877.675590837518,17.98050550119014,22.684728355652464
11700,9864.384993635755,17.99036922550438,22.689062404899865
11760,9885.720554720012,18.000031351224056,22.697740707862398
11820,9910.387327367494,18.009511716581446,22.709426809031854
11880,9931.316435,18.018833569626715,22.722077637613623
11940,9891.230693419295,18.02802015841004,22.733650122813124
12000,9901.548554115008,18.037071451535937,22.742345881456103
12060,9842.370144225648,18.045885255110854,22.748949318863353
12120,9872.399605138771,18.05454651,22.754778251969217
12180,9858.968225133405,18.063175160522633,22.760982261022864
12240,9854.155914327235,18.071891129957827,22.768710926273464
12300,9877.020016321254,18.080791788946357,22.780076809945157
12360,9888.449388448473,18.089796892420935,22.800463602817366
12420,9899.980841014085,18.098877398397903,22.825931431451043
12480,9961.084321194434,18.10802779255105,22.850966769418818
12540,10004.086427020193,18.117242560554182,22.870056090293346
12600,9979.054621,18.12652234261259,22.87905116353913
12660,9955.529033,18.13589546544509,22.884177263051757
12720,9919.664422573027,18.145341902970344,22.887945213259414
12780,9913.306857,18.154832468279533,22.891393194403726
12840,9905.092027346811,18.164337974463816,22.895559386726305
12900,9926.827388,18.17383548895336,22.901362246701982
12960,9927.393455009578,18.18334833920167,22.908586819132605
13020,9938.296274290815,18.19288074850783,22.91697310941981
13080,9907.194364824556,18.202430027413776,22.92636067317869
13140,9911.163227047606,18.211993486461477,22.936589066024364
13200,9953.756118167103,18.22156054406615,22.947649557846784
13260,9972.505912333025,18.231093581540016,22.96035458117873
13320,9974.774311047058,18.24063101284315,22.974554407253315
13380,10005.525200200747,18.250224118601267,22.989891821520004
13440,9981.397299,18.259924179440095,23.006009609428286
13500,9984.234598,18.269772457672108,23.02282383937532
13560,9986.221115992867,18.279733875951074,23.041609331619448
13620,9991.846236236272,18.28980024737506,23.061708245181055
13680,10015.449581276878,18.299974161886905,23.082073073114813
13740,10061.16488739277,18.31025820942946,23.101656308475444
13800,10084.150029174214,18.320654337692815,23.11977370412307
13860,10092.723739370716,18.331161522031145,23.137936372068125
13920,10079.450025447737,18.341783645888377,23.15573143555624
13980,10102.825002496269,18.352525537689836,23.17227952710224
14040,10107.78643025306,18.363392025860858,23.18670127922097
14100,10144.496595433027,18.374414165744938,23.198498228205207
14160,10136.29074419365,18.385717954929014,23.20950013256259
14220,10116.37836820738,18.39718516079606,23.219562778275588
14280,10120.237276043335,18.40865546603104,23.228056271237474
14340,10102.815426563911,18.41996855331894,23.234350717341524
14400,10085.507519941084,18.43101109473839,23.238026741942218
14460,10070.692437474578,18.44197222406656,23.240321855710842
14520,10048.27463248959,18.452822822216834,23.241995874035354
14580,10041.04968692923,18.463475871128306,23.24358912532501
14640,10006.39957430643,18.473844352740052,23.245641937989117
14700,10011.260954010264,18.48385836225984,23.24868499246085
14760,10049.850933801043,18.4935879,23.252942887128686
14820,10038.002774705348,18.50307275517468,23.25828075188383
14880,10014.42183432875,18.512335586856594,23.264543342773273
14940,9979.962727493305,18.521399038840052,23.27157541584405
15000,9983.341616390908,18.530271120631145,23.279509200737255
15060,9996.5311,18.53889270176495,23.289862103128613
15120,10022.64649,18.54731751851063,23.302045384572203
15180,10039.667209492398,18.555620924976814,23.315054571114803
15240,10019.379074559145,18.563878275272167,23.32788518880318
15300,10016.414235523132,18.572141252299126,23.339758695730445
15360,10042.37301384297,18.580314828866616,23.35152679
15420,10034.75335552059,18.588423297697844,23.36328333118766
15480,10011.80453603145,18.59652086651442,23.374867073946007
15540,10031.919648920582,18.60466174303798,23.38611676288126
15600,10051.890219685323,18.612886931770753,23.39686542159458
15660,10033.123581149883,18.621145924176215,23.40706184920174
15720,10034.45462510767,18.62943872256226,23.416934318627273
15780,10056.55111345073,18.63778073486057,23.426738335867192
15840,10052.835787667442,18.64618736900282,23.436729406917536
15900,10076.517338677386,18.65467446889425,23.447158370599436
15960,10070.042737849446,18.663247873591338,23.458059605582935
16020,10067.638992106875,18.67189016881828,23.46918026830473
16080,10107.36970380402,18.68058170907195,23.48024861558698
16140,10086.354969217668,18.68930284884925,23.49099290425189
16200,10089.07170103785,18.698045104329804,23.501247907972342
16260,10079.926587697642,18.706856955496214,23.511465770888663
16320,10062.191378543896,18.715710379852897,23.52149079028655
16380,10052.643735354859,18.72456163395907,23.53102699
16440,10081.206256261235,18.733366974373975,23.539778396292665
16500,10095.609090378077,18.74208001520751,23.547345020515632
16560,10113.839339157854,18.75067940527177,23.55323421125559
16620,10097.549187718383,18.759225734187773,23.558392250829215
16680,10071.808780227671,18.767788407015995,23.563969856984386
16740,10062.62796314191,18.77643682881695,23.57111775
16800,10076.489258070618,18.78522302269816,23.581851245943916
16860,10112.91419476738,18.794080656478762,23.601309943210527
16920,10137.36872027753,18.803013409786946,23.626572716890784
16980,10166.992287077052,18.81204552412255,23.653330320673575
17040,10204.739619836837,18.82120124098545,23.677273508247822
17100,10243.702128928238,18.83051061332016,23.695149055008084
17160,10220.676613665939,18.840007991614783,23.711231004019453
17220,10244.36334373463,18.849645870345288,23.72609786096335
17280,10245.770990483845,18.859365205163144,23.739123442323184
17340,10242.614256048568,18.86910695171985,23.749681564582396
17400,10226.306637880365,18.87883635594886,23.75731435809514
17460,10212.470709543992,18.88865531483264,23.763031096815524
17520,10210.71669796602,18.898520258884208,23.76769514882054
17580,10186.56755833123,18.908355083764047,23.772013233114997
17640,10195.705129410133,18.918083685132654,23.776692068703728
17700,10168.988631443473,18.927648043291885,23.782268716379747
17760,10150.978691051687,18.937118307484347,23.788112830140367
17820,10166.07949991555,18.946500117974495,23.794257223947334
17880,10169.876913906039,18.955778386903848,23.800933796144985
17940,10176.627223503854,18.96493802641398,23.808374445077682
18000,10162.154450195067,18.97395868895275,23.816892673481814
18060,10156.060702287878,18.982814184930895,23.827053303743096
18120,10171.628057808497,18.991549173826066,23.838588182703102
18180,10182.176745225266,19.000218500236326,23.85109238155059
18240,10202.583462199416,19.008877008759775,23.86416097147434
18300,10210.40930677192,19.01756342112859,23.877683469898805
18360,10248.22371251737,19.02621349627515,23.893003380588826
18420,10285.832292350775,19.034839233201065,23.909365327711416
18480,10289.03567752758,19.04347260506959,23.925592772570987
18540,10274.542605678103,19.052145585043984,23.940509176471966
18600,10279.46803844701,19.060887540666204,23.953217280890716
18660,10293.788960811236,19.069693089091935,23.96487034770418
18720,10339.521339269777,19.078539159049704,23.975743433612397
18780,10314.196969667424,19.087403512516715,23.98580090874261
18840,10278.505053314431,19.096263911470203,23.995007143222114
18900,10290.216013385647,19.10510922688503,24.003304490181947
18960,10273.861994719968,19.113987005422043,24.010649922813162
19020,10262.461260043026,19.122871934541166,24.01736173521148
19080,10246.066188449971,19.131723316881764,24.023806023136327
19140,10267.449908187526,19.140500455083206,24.030348882347145
19200,10246.569672693666,19.14917545915614,24.037288987220855
19260,10237.824489479897,19.157800618957616,24.044386549484067
19320,10256.482368905345,19.166364994821535,24.051541801867526
19380,10248.42831720647,19.174841567532017,24.058724235695106
19440,10261.875154081998,19.18320331787322,24.065903342290753
19500,10231.775874732273,19.191425988493954,24.072984097236887
19560,10233.88884921629,19.199518578271046,24.079656980934995
19620,10253.083937086496,19.207502906459258,24.086244829589937
19680,10244.527596378652,19.215399435985105,24.09317652329535
19740,10242.54306920259,19.223228629775164,24.10088094214492
19800,10251.247620218355,19.231004282967913,24.10998956496752
19860,10276.89167358802,19.238700061826655,24.121657398933507
19920,10291.819662489259,19.246325226418232,24.134805026993856
19980,10291.761278172562,19.25389762164333,24.148000181136837
20040,10294.516540388924,19.26143509240265,24.159810593350734
20100,10293.513499697432,19.268953730192678,24.16924535732335
20160,10285.22212677287,19.27644924281953,24.178192165061535
20220,10277.81812662706,19.283910407613238,24.18655107122823
20280,10276.407304058801,19.29132695944056,24.193683274249164
20340,10274.237209723009,19.298688633168307,24.198949972550086
20400,10276.524844182533,19.305995477857437,24.201931735299944
20460,10270.276245222743,19.313294258803275,24.203849953498892
20520,10239.176113951407,19.32055123397089,24.205286186156105
20580,10246.084089338365,19.327717350919006,24.20658194115839
20640,10235.13186050176,19.33474355720639,24.208078726392596
20700,10210.126010294716,19.341585056716344,24.21001542917078
20760,10250.702125030593,19.348254403067386,24.212003851661354
20820,10232.613097893813,19.354794012603644,24.214187890807764
20880,10216.882113781334,19.361245017822306,24.21684231
20940,10200.192608696332,19.367648551220583,24.22024189113048
21000,10181.560300971378,19.37403452431618,24.225493543465095
21060,10186.661995466024,19.380359315651084,24.23722337375747
21120,10198.57646214519,19.386629258588542,24.253147993154023
21180,10216.620885402352,19.392864340005993,24.269715713964015
21240,10261.151457439983,19.39908455,24.283374848496745
