t,Tin,Tout
0,10.9359995867255,10.9359995867255
60.005952971525,13.9011862972946,11.045185305721
120.01190594305,13.9387508940514,11.0859892324319
180.017858914575,13.9201719012749,11.0641815693968
240.0238118861,13.9696473973787,11.1144801012132
300.029764857625,13.9285707553703,11.0775637790845
360.03571782915,14.0019892255018,11.1552271584963
420.041670800675,13.999257712717,11.1567878189214
480.0476237722,13.9777094568839,11.1377180446742
540.053576743725,14.0256069910001,11.1860145614286
600.059529715249,14.0246285668471,11.1839338763085
660.065482686774,14.1324880497169,11.2890181721112
720.071435658299,14.1879889834209,11.3432547451818
780.077388629824,13.9741412055578,11.1295155058559
840.083341601349,14.1610522988739,11.3185311545454
900.089294572874,14.1382328597495,11.2995916784455
960.095247544399,14.1776766954602,11.3402204156142
1020.10120051592,14.2059508960539,11.3659754237915
1080.10715348745,14.1803973461772,11.3390777869315
1140.11310645897,14.2406514216141,11.3993461115168
1200.1190594305,14.1782608593279,11.3353373364912
1260.12501240202,14.2461370258264,11.3995525979924
1320.13096537355,14.2851920174208,11.4374493017304
1380.13691834507,14.2304000293779,11.3838983839033
1440.1428713166,14.3085802729992,11.4611517156222
1500.14882428812,14.3342202328562,11.4829627022461
1560.15477725965,14.3144360589057,11.463235948478
1620.16073023117,14.2620417874334,11.4143503676714
1680.1666832027,14.2991933061187,11.4505835441012
1740.17263617422,14.3860308244818,11.5288183196134
1800.17858914575,14.3517761915152,11.488354274708
1860.18454211727,14.4476657294172,11.5804897270716
1920.1904950888,14.5162880154961,11.6500643065138
1980.19644806032,14.3146581545249,11.4531030356947
2040.20240103185,14.3391744818471,11.4819645326586
2100.20835400337,14.472978454107,11.6196050912586
2160.2143069749,14.4285842588985,11.577822794319
2220.22025994642,14.4644376457339,11.614456325383
2280.22621291795,14.425959064096,11.5780244894372
2340.23216588947,14.4484302388803,11.6041589325289
2400.238118861,14.4854639119279,11.6437217848999
2460.24407183252,14.4904306202737,11.6495014548714
2520.25002480405,14.5131516876801,11.6722344630381
2580.25597777557,14.5259551393859,11.683983617862
2640.2619307471,14.6892574449381,11.8448344972924
2700.26788371862,14.5235732560182,11.6747858991317
2760.27383669015,14.6633811620884,11.8161135595973
2820.27978966167,14.6882010482817,11.848648185577
2880.2857426332,14.7469224862347,11.9120949027542
2940.29169560472,14.5779582928243,11.7437316260149
3000.29764857625,14.7770088515635,11.942012629979
3060.30360154777,14.8221095135531,11.984814981539
3120.3095545193,14.8435116527642,12.0054169692799
3180.31550749082,14.8235137556669,11.9863571626001
3240.32146046235,14.8388920572052,11.9992734541947
3300.32741343387,14.9323891787526,12.0863495088552
3360.3333664054,15.0374920035134,12.1860591254105
3420.33931937692,15.0205901894754,12.1647523299333
3480.34527234845,15.0585713794907,12.2026168853732
3540.35122531997,15.0848942992011,12.2325346692644
3600.3571782915,15.1360680669015,12.2859817335749
3660.36313126302,15.1939870362243,12.3447105017316
3720.36908423455,15.2109885759833,12.3628488108236
3780.37503720607,15.1720838059812,12.3254154544889
3840.3809901776,15.3065593354416,12.4618756640308
3900.38694314912,15.2352467511217,12.3931305597667
3960.39289612065,15.2602619620864,12.417914659282
4020.39884909217,15.253718688279,12.4079340281953
4080.4048020637,15.3397473776786,12.4915174606751
4140.41075503522,15.3623694981962,12.5127583598948
4200.41670800675,15.3905309842916,12.5400826975341
4260.42266097827,15.4021442448045,12.5512560228883
4320.4286139498,15.3853430564744,12.5363181034197
4380.43456692132,15.4336550261142,12.5884285339639
4440.44051989285,15.4034399950714,12.5646040137115
4500.44647286437,15.5099495141723,12.6797962878184
4560.4524258359,15.4756581851873,12.6504935747108
4620.45837880742,15.5278509541081,12.7024153780706
4680.46433177895,15.5300453776844,12.7027024861281
4740.47028475047,15.544474958043,12.7134974175451
4800.476237722,15.6193078141709,12.7810242548702
4860.48219069352,15.616162545523,12.7659523188857
4920.48814366505,15.6250767254703,12.7631578560424
4980.49409663657,15.7017009220745,12.8283118802268
5040.5000496081,15.654261497738,12.7742717196629
5100.50600257962,15.6148557558292,12.7326149456279
5160.51195555115,15.7662223710433,12.8803469820026
5220.51790852267,15.7670615809052,12.8758584315562
5280.5238614942,15.7254733600379,12.8292470591111
5340.52981446572,15.6821656047375,12.7811794220577
5400.53576743725,15.8400255765811,12.9374820548362
5460.54172040877,15.8312932426045,12.9301725996651
5520.5476733803,15.7992320121542,12.8978480361639
5580.55362635182,15.8963851619541,12.9926551740504
5640.55957932335,15.9461667001151,13.04186122287
5700.56553229487,15.9131268902532,13.0098864956699
5760.5714852664,15.9505888364316,13.0518129540459
5820.57743823792,15.9089034538723,13.0174951014922
5880.58339120945,16.0256818921575,13.1399552359903
5940.58934418097,15.9991085130844,13.1169785770488
6000.59529715249,15.9609102291915,13.0769118728874
6060.60125012402,15.9333679505414,13.039354221304
6120.60720309554,16.1048865892614,13.2057897290801
6180.61315606707,16.0926718175276,13.1927723385599
6240.6191090386,16.0084813593851,13.1142001828405
6300.62506201012,16.0836674576485,13.1995031633371
6360.63101498164,16.1907194284411,13.311887337208
6420.63696795317,16.1506587595113,13.2694521854248
6480.6429209247,16.112771401547,13.2322780151471
6540.64887389622,16.1916392383149,13.3148240365624
6600.65482686774,16.1487740145473,13.2774498673118
6660.66077983927,16.238699535831,13.3744432396859
6720.6667328108,16.2106624675123,13.3524903093401
6780.67268578232,16.3005861186602,13.4473978423855
6840.67863875385,16.2435394913314,13.391085745587
6900.68459172537,16.3633239819031,13.5055758301214
6960.69054469689,16.2400729388056,13.3838611227939
7020.69649766842,16.292808394139,13.4436025835502
7080.70245063994,16.3078879402739,13.4611377653833
7140.70840361147,16.400840875085,13.5494771114922
7200.71435658299,16.3235860543536,13.465559307414
7260.72030955452,16.4500659909162,13.583020818104
7320.72626252604,16.4622644454316,13.5917560678347
7380.73221549757,16.3953408988435,13.5261614346046
7440.73816846909,16.3429849620467,13.4715535711633
7500.74412144062,16.4728062384961,13.5944512842678
7560.75007441214,16.5121843338088,13.6358994305905
7620.75602738367,16.5526467991016,13.6844911434896
7680.7619803552,16.502643141159,13.6400070776707
7740.76793332672,16.5457706820201,13.6850018924373
7800.77388629824,16.4738616966014,13.6098475840523
7860.77983926977,16.5363218191696,13.6614924457527
7920.78579224129,16.5984800253824,13.7186701054027
7980.79174521282,16.6157496485175,13.7360899063028
8040.79769818434,16.6367023250749,13.7565347091566
8100.80365115587,16.6539731847325,13.7724983473018
8160.80960412739,16.6707762359371,13.7872409011855
8220.81555709892,16.7180547750697,13.8316026476754
8280.82151007044,16.7894268085733,13.902122789418
8340.82746304197,16.7125558144667,13.8263938409179
8400.83341601349,16.7023362316371,13.8156768684041
8460.83936898502,16.8319318384537,13.9428204657786
8520.84532195654,16.6999553925395,13.8089094265791
8580.85127492807,16.8008500361931,13.9084937979393
8640.85722789959,16.7869479004135,13.8912666458549
8700.86318087112,16.7885647986166,13.8871086337136
8760.86913384264,16.7744930744432,13.8729791550758
8820.87508681417,16.8798542162186,13.9825860087062
8880.88103978569,16.7992651399912,13.9065181474188
8940.88699275722,16.8963033185272,14.0083679708573
9000.89294572874,16.9058372306103,14.0176315744214
9060.89889870027,16.8825400435712,13.9858972260052
9120.90485167179,16.9366365454564,14.036290882796
9180.91080464332,16.8891046859122,13.9893994652078
9240.91675761484,17.0168461578312,14.1152947937374
9300.92271058637,16.9102030286419,14.0036668510503
9360.92866355789,16.9705127695013,14.0685231465855
9420.93461652942,16.9807641368547,14.0885923193505
9480.94056950094,16.9778571546275,14.0914597459243
9540.94652247247,17.1161077081026,14.2275390502283
9600.95247544399,17.0724393379977,14.1812074240291
9660.95842841552,17.0833485584265,14.1890214664539
9720.96438138704,16.9097544135522,14.0162549642691
9780.97033435857,17.0000652543656,14.1106577524121
9840.97628733009,17.0658680448818,14.1773764314318
9900.98224030162,17.1096418295055,14.2177807622035
9960.98819327314,17.0732326512269,14.1851139586286
10020.9941462447,17.1063193396445,14.2266648782966
10081.0000992162,17.0221903494891,14.1440246787793
10141.0060521877,17.1803107358005,14.2888544324773
10201.0120051592,17.1903198527231,14.2985070230764
10261.0179581308,17.1557432177186,14.2714758352235
10321.0239111023,17.0733739521082,14.1930926391859
10381.0298640738,17.1751959585197,14.2931470651285
10441.0358170453,17.252549752455,14.3691374937351
10501.0417700169,17.2247971636687,14.3406112520219
10561.0477229884,17.2851018867681,14.3989237861494
10621.0536759599,17.266978370216,14.3773935952389
10681.0596289314,17.1899651964182,14.2982463315664
