t[s],Q[W],Tin[degC],Tout[degC]
11280,0.0,9.141474069004598,9.141474069004502
11340,0.0,9.141476373611438,9.141476373611326
11400,0.0,9.141480125805613,9.141480125805577
11460,0.0,9.141485005577437,9.14148500557754
11520,0.0,9.141490399759633,9.141490399759878
11580,0.0,9.14149569518492,9.141495695185256
11640,0.0,9.141500462261634,9.14150046226195
11700,0.0,9.141505435382154,9.141505435382347
11760,0.0,9.141510467022602,9.141510467022623
11820,0.0,9.141515181127735,9.141515181127577
11880,0.0,9.141519201642323,9.141519201642025
11940,0.0,9.141522248803607,9.141522248803241
12000,0.0,9.141524776377391,9.141524776376977
12060,0.0,9.141526979301492,9.141526979301034
12120,0.0,9.141528948901227,9.14152894890075
12180,0.0,9.141530776501938,9.141530776501464
12240,0.0,9.141532515064105,9.141532515063677
12300,0.0,9.141534014508922,9.141534014508567
12360,0.0,9.14153537570823,9.141535375707962
12420,0.0,9.141536752611914,9.14153675261174
12480,0.0,9.141538299169882,9.14153829916979
12540,0.0,9.1415401596086,9.141540159608567
12600,0.0,9.141542343754121,9.14154234375412
12660,0.0,9.141544787599871,9.14154478759987
12720,0.0,9.141547429624287,9.141547429624271
12780,0.0,9.141550208305834,9.141550208305791
12840,0.0,9.141553110672405,9.141553110672332
12900,0.0,9.141556363642719,9.141556363642573
12960,0.0,9.141559848315644,9.141559848315405
13020,0.0,9.141563376367143,9.141563376366815
13080,0.0,9.141566759473193,9.141566759472804
13140,0.0,9.141569853956062,9.141569853955666
13200,0.0,9.141572834883272,9.141572834882906
13260,0.0,9.141575721926007,9.141575721925692
13320,0.0,9.141578483891069,9.141578483890813
13380,0.0,9.141581089585271,9.141581089585074
13440,0.0,9.141583508304658,9.141583508304508
13500,0.0,9.141585744473577,9.141585744473478
13560,0.0,9.14158785323437,9.141587853234316
13620,0.0,9.141589893355189,9.141589893355185
13680,0.0,9.14159192360421,9.141591923604249
13740,0.0,9.141593978868363,9.141593978868435
13800,0.0,9.141595959400327,9.141595959400439
13860,0.0,9.1415979079984,9.141597907998545
13920,0.0,9.141599899410226,9.141599899410396
13980,0.0,9.14160200838347,9.141602008383646
14040,0.0,9.141604320451506,9.141604320451659
14100,0.0,9.141606909694584,9.14160690969466
14160,0.0,9.141609666078118,9.141609666078084
14220,0.0,9.141612455582948,9.141612455582798
14280,0.0,9.14161514418993,9.14161514418968
