t,gRef
0,0
60.005952971525,0.0179474922328409
120.01190594305,0.0313564423139889
180.017858914575,0.0392033590585332
240.0238118861,0.0457462012384224
300.029764857625,0.0519505617619702
360.03571782915,0.0579268381894463
420.041670800675,0.0636802263434727
480.0476237722,0.0692266166176131
540.053576743725,0.0746050732605199
600.059529715249,0.0798375626824009
660.065482686774,0.0849331192126783
720.071435658299,0.0899055923834333
780.077388629824,0.0947912125641775
840.083341601349,0.0995762712462556
900.089294572874,0.104271149575298
960.095247544399,0.108871790809334
1020.10120051592,0.113370759910291
1080.10715348745,0.117769607337141
1140.11310645897,0.122091314349058
1200.1190594305,0.126349823305746
1260.12501240202,0.13052844844205
1320.13096537355,0.134605551249105
1380.13691834507,0.138590298094233
1440.1428713166,0.142510236405961
1500.14882428812,0.14637074499905
1560.15477725965,0.150168871302077
1620.16073023117,0.153904684619089
1680.1666832027,0.157578011677266
1740.17263617422,0.161187976441247
1800.17858914575,0.164739749168547
1860.18454211727,0.168254942113873
1920.1904950888,0.171769418674379
1980.19644806032,0.175319775125483
2040.20240103185,0.178934433316742
2100.20835400337,0.182670868283836
2160.2143069749,0.186615165750658
2220.22025994642,0.190860902061104
2280.22621291795,0.195552488911737
2340.23216588947,0.200864229972632
2400.238118861,0.206984680471191
2460.24407183252,0.214095667319086
2520.25002480405,0.222419653736145
2580.25597777557,0.232164119617608
2640.2619307471,0.24353871489788
2700.26788371862,0.256608740364969
2760.27383669015,0.271206648713689
2820.27978966167,0.286941082806388
2880.2857426332,0.303315647920122
2940.29169560472,0.319909417685575
3000.29764857625,0.336253763446776
3060.30360154777,0.351997529618948
3120.3095545193,0.366864213039002
3180.31550749082,0.380787291685261
3240.32146046235,0.393744560174124
3300.32741343387,0.405808080046401
3360.3333664054,0.417111881642349
3420.33931937692,0.427852908077283
3480.34527234845,0.438216993298356
3540.35122531997,0.448337289227571
3600.3571782915,0.458217090551101
3660.36313126302,0.467846478762084
3720.36908423455,0.477207184349611
3780.37503720607,0.48628939098435
3840.3809901776,0.495101580824879
3900.38694314912,0.503654122801797
3960.39289612065,0.511886636835375
4020.39884909217,0.519951654463924
4080.4048020637,0.527863560539888
4140.41075503522,0.535680569869497
4200.41670800675,0.543367877695911
4260.42266097827,0.550915046722298
4320.4286139498,0.558319483870491
4380.43456692132,0.565583360359689
4440.44051989285,0.57271370070385
4500.44647286437,0.579715584164241
4560.4524258359,0.586559525134693
4620.45837880742,0.593318048050134
4680.46433177895,0.600000347199881
4740.47028475047,0.606637308080821
4800.476237722,0.613217957965942
4860.48219069352,0.619746941288631
4920.48814366505,0.626232222174434
4980.49409663657,0.632677076772774
5040.5000496081,0.639122697640783
5100.50600257962,0.645586014567049
5160.51195555115,0.652081006563009
5220.51790852267,0.65860481861589
5280.5238614942,0.665173775835351
5340.52981446572,0.671798529989851
5400.53576743725,0.678486366250216
5460.54172040877,0.685240249726199
5520.5476733803,0.692065858106506
5580.55362635182,0.698985509152555
5640.55957932335,0.705952092715189
5700.56553229487,0.712954218352918
5760.5714852664,0.719977953993084
5820.57743823792,0.727009786251026
5880.58339120945,0.73403975598952
5940.58934418097,0.741060678799623
6000.59529715249,0.748063897522162
6060.60125012402,0.755038235121902
6120.60720309554,0.761957957528361
6180.61315606707,0.768831019403966
6240.6191090386,0.775652796095437
6300.62506201012,0.782423164915386
6360.63101498164,0.789157776263631
6420.63696795317,0.79584276296643
6480.6429209247,0.802473769390943
6540.64887389622,0.809049438321486
6600.65482686774,0.815569656685196
6660.66077983927,0.822031052224559
6720.6667328108,0.828410315788613
6780.67268578232,0.834737536135586
6840.67863875385,0.841012355657939
6900.68459172537,0.847235519774332
6960.69054469689,0.853407783381971
7020.69649766842,0.859532194366797
7080.70245063994,0.865625124240765
7140.70840361147,0.871674801506502
7200.71435658299,0.877678206284484
7260.72030955452,0.883632268846559
7320.72626252604,0.889517651228215
7380.73221549757,0.895360925302553
7440.73816846909,0.901163124056367
7500.74412144062,0.906925963970072
7560.75007441214,0.912652597936129
7620.75602738367,0.91835605474419
7680.7619803552,0.92402827691333
7740.76793332672,0.929667680166057
7800.77388629824,0.93527280490384
7860.77983926977,0.940831486635167
7920.78579224129,0.946363118990687
7980.79174521282,0.951868930843691
8040.79769818434,0.957350427040797
8100.80365115587,0.962809830482427
8160.80960412739,0.96825525631432
8220.81555709892,0.973681802244338
8280.82151007044,0.979088234800144
8340.82746304197,0.984474545211269
8400.83341601349,0.989841096367025
8460.83936898502,0.995188196258842
8520.84532195654,1.00051603330373
8580.85127492807,1.00582529761113
8640.85722789959,1.01111683296426
8700.86318087112,1.01639084320579
8760.86913384264,1.02164692628607
8820.87508681417,1.02688448006603
8880.88103978569,1.03210302946404
8940.88699275722,1.03730190223253
9000.89294572874,1.04248060962232
9060.89889870027,1.04763902049632
9120.90485167179,1.05277705986252
9180.91080464332,1.05789375403336
9240.91675761484,1.06298840635958
9300.92271058637,1.06806175832677
9360.92866355789,1.073112861101
9420.93461652942,1.07813120373083
9480.94056950094,1.08312795552112
9540.94652247247,1.08810274762639
9600.95247544399,1.09305544157401
9660.95842841552,1.09798577996389
9720.96438138704,1.10289376495507
9780.97033435857,1.10777958697781
9840.97628733009,1.11264341341173
9900.98224030162,1.11748542739579
9960.98819327314,1.12230596154804
10020.9941462447,1.12710521822741
10081.0000992162,1.13188328197609
10141.0060521877,1.13664022769908
10201.0120051592,1.14137616768958
10261.0179581308,1.14609121739164
10321.0239111023,1.15078549778401
10381.0298640738,1.15545916622599
10441.0358170453,1.16011237454265
10501.0417700169,1.16474534523049
10561.0477229884,1.16935828442316
10621.0536759599,1.17395146726175
10681.0596289314,1.17852512061446
10741.065581903,1.18307953909198
10801.0715348745,1.18761497312059
10861.077487846,1.19213168663017
10921.0834408175,1.19662995573494
10981.0893937891,1.20111001663558
11041.0953467606,1.20557211205217
11101.1012997321,1.21001646945529
11161.1072527036,1.21444330583882
11221.1132056752,1.21885279015398
11281.1191586467,1.22324514139557
11341.1251116182,1.22762050676261
11401.1310645897,1.23197905190358
11461.1370175613,1.23632093006632
11521.1429705328,1.24064628142361
11581.1489235043,1.24495526327
11641.1548764758,1.2492480131067
11701.1608294474,1.25352467689771
11761.1667824189,1.25778539425957
11821.1727353904,1.26203031516914
11881.1786883619,1.26625957953681
11941.1846413335,1.27047332458199
12001.190594305,1.274671689296
12061.1965472765,1.27885481126262
12121.202500248,1.2830228196857
12181.2084532196,1.28717582174177
12241.2144061911,1.29131392691061
12301.2203591626,1.29543723436343
12361.2263121341,1.29954585828926
12421.2322651057,1.30363986587313
12481.2382180772,1.30771935558767
12541.2441710487,1.31178439580928
12601.2501240202,1.31583506316957
12661.2560769918,1.31987146331672
12721.2620299633,1.32389365767022
12781.2679829348,1.32790171628884
12841.2739359063,1.33189568036874
12901.2798888779,1.33587563321325
12961.2858418494,1.33984165150935
13021.2917948209,1.34379381389428
13081.2977477924,1.34773218991589
13141.303700764,1.35165685079923
13201.3096537355,1.35556788042603
13261.315606707,1.35946534599834
13321.3215596785,1.36334933589094
13381.3275126501,1.36721992713887
13441.3334656216,1.37107719643716
13501.3394185931,1.37492122593975
13561.3453715646,1.37875209903784
13621.3513245362,1.38256990427967
13681.3572775077,1.38637470896074
13741.3632304792,1.39016661775275
13801.3691834507,1.39394569263628
13861.3751364223,1.39771203858233
13921.3810893938,1.4014657236789
13981.3870423653,1.40520684074157
14041.3929953368,1.40893546502257
14101.3989483084,1.41265169224669
14161.4049012799,1.41635558688321
14221.4108542514,1.42004725157853
14281.4168072229,1.4237267596989
14341.4227601945,1.42739419636517
14401.428713166,1.43104963995177
14461.4346661375,1.43469317697733
14521.440619109,1.43832487993681
14581.4465720806,1.44194482546409
14641.4525250521,1.44555311190745
14701.4584780236,1.44914981077755
14761.4644309951,1.45273498214725
14821.4703839667,1.45630870597049
14881.4763369382,1.45987106479002
14941.4822899097,1.46342213362752
15001.4882428812,1.46696197407089
15061.4941958528,1.47049066308569
15121.5001488243,1.474008275114
15181.5061017958,1.47751487798562
15241.5120547673,1.48101052556978
15301.5180077389,1.48449528889455
15361.5239607104,1.48796923717347
15421.5299136819,1.49143243395301
15481.5358666534,1.49488494780575
15541.541819625,1.49832683485222
15601.5477725965,1.50175816558133
15661.553725568,1.50517899872718
15721.5596785395,1.50858939455453
15781.5656315111,1.51198940852048
15841.5715844826,1.51537910186847
15901.5775374541,1.51875853291538
15961.5834904256,1.52212775854813
16021.5894433972,1.52548683909355
16081.5953963687,1.52883582452633
16141.6013493402,1.53217478340416
16201.6073023117,1.53550377234812
16261.6132552833,1.53882284636375
16321.6192082548,1.54213205644224
16381.6251612263,1.54543145593568
16441.6311141978,1.54872110724425
16501.6370671694,1.55200106984663
16561.6430201409,1.55527138553112
16621.6489731124,1.55853213580775
16681.6549260839,1.56178339048631
16741.6608790555,1.56502519075092
16801.666832027,1.56825757234551
16861.6727849985,1.57148057141228
16921.67873797,1.57469423236982
16981.6846909416,1.57789860095069
17041.6906439131,1.5810937127985
17101.6965968846,1.58427962410922
17161.7025498561,1.58745638630765
17221.7085028277,1.59062407434918
17281.7144557992,1.59378271987198
17341.7204087707,1.59693239113382
17401.7263617422,1.60007313741598
17461.7323147138,1.60320501170275
17521.7382676853,1.60632807989057
17581.7442206568,1.60944237653251
17641.7501736283,1.61254795399025
17701.7561265999,1.61564484608774
17761.7620795714,1.61873310674946
17821.7680325429,1.62181276911018
17881.7739855144,1.62488390387604
17941.779938486,1.62794657149393
18001.7858914575,1.63100081396923
18061.791844429,1.63404668910571
18121.7977974005,1.63708422353251
18181.8037503721,1.64011346039504
18241.8097033436,1.64313442649736
18301.8156563151,1.64614717364543
18361.8216092866,1.64915172917145
18421.8275622582,1.65214814700463
18481.8335152297,1.65513645679053
18541.8394682012,1.65811668333507
18601.8454211727,1.66108888520024
18661.8513741443,1.66405309449987
